opportunity_reference,account_name,opportunity_name,project_type,stage,probability,estimated_value,expected_close_date,sales_owner,technical_owner,customer_budget,competitors,next_step,next_action_date,status,notes
SS-26-0100,GulfNet Solutions Company Limited (GNS),Building VMS,New,Proposal,90,0.0,2026-11-01,Shady Moussa,Bahaa,0,,Sales: Bahaa + Shady,2026-11-01,Open,"Business Unit: Project | End User: SWA, RTCC | Industry: Power & Water | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-05-21 | Must Win: Yes | Quality: Gross value missing; GM % missing"
SS-26-0099,Aramco,"Event Aramco_6000189707_NAPD, Jubail-II Master Metering Syst",New,Proposal,90,1253600.0,2026-07-01,Shady Moussa,Nishar,0,,,2026-07-01,Open,"Business Unit: Trading | End User: Aramco Jubail Master II | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 283,400.00 | Delivery: 2026-05-21 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0098,First Gas,FW: RFQ - Startup an Commissioning Cables Supply and Install,New,Proposal,70,200000.0,2026-08-01,Shady Moussa,Imran,0,,,2026-08-01,Open,"Business Unit: Project | End User: Saudi Cement | Industry: Petrochemical | Original Stage: Firm | Forecast GM: 20.0% / 40,000.00 | Delivery: 2026-05-15 | Must Win: Yes"
SS-26-0097,Arrazi-sabic,RFx 5500797677 (CACE PIII and PV),New,Proposal,70,2000000.0,2027-02-01,Rania Alamin,Rania,0,,,2027-02-01,Open,"Business Unit: Project | End User: arrazi | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 300,000.00 | Delivery: 2026-05-14 | Must Win: Yes"
SS-26-0096,el sewedy,MCN 25-1396 || SABIC (Sabtank) || 5500770571 || Methanol Tan,Upgrade,Qualification,90,20000.0,2026-01-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-01-01,Open,"Business Unit: Trading | End User: sabtank | Industry: Chemical | Original Stage: Budgetary | Forecast GM: 25.0% / 5,000.00 | Delivery: 2026-05-14 | Must Win: Yes"
SS-26-0095,AJ corporation,RFQ-Supply & Installation of BMS for GPIL project.,New,Qualification,90,1000.0,2026-12-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-12-01,Open,"Business Unit: Trading | End User: GULF PACKAGING INDUSTRIES | Industry: Materials | Original Stage: Budgetary | Forecast GM: 15.0% / 100,000.00 | Delivery: 2026-05-11 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0094,Abdul Latif Jameel,Electric panel sensor,New,Qualification,90,1000.0,2026-06-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-06-01,Open,"Business Unit: Trading | End User: Abdul Latif Jameel | Industry: Materials | Original Stage: Budgetary | Forecast GM: 20.0% / 10,000.00 | Delivery: 2026-05-11 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0093,MGC,RFQ - Replacement Of Ended Lifetime Technologies and Assets,New,Proposal,70,0.0,2026-11-01,Shady Moussa,Bahaa,0,,Sales: Shady + Bahaa,2026-11-01,Open,Business Unit: Project | End User: SWA | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-05-10 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0092,First Gas,First Gas // LV Cables // Request for Quotations,New,Proposal,70,0.0,2026-06-01,Shady Moussa,Imran,0,,,2026-06-01,Open,Business Unit: Project | End User: Saudi cement | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 0.00 | Delivery: 2026-05-10 | Must Win: Yes | Quality: Gross value missing
SS-26-0091,Khaled Abdulrahman Al-Hathal Contracting Est.,Building BMS system,New,Qualification,70,0.0,2026-10-01,Abdelaziz Abdelsadek,Abdelaziz,0,,Sales: Shady + Abdelaziz,2026-10-01,Open,Business Unit: Trading | End User: Taif Air Base | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 0.0% / 0.00 | Delivery: 2026-05-05 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0089,Maaden,Supply of Honeywell Pressure Transmitter,Replacement,Proposal,90,8000.0,2026-05-01,Mohammed Nishar,Mohamed Nishar,0,,,2026-05-01,Open,"Business Unit: Trading | End User: Saudi Arabian Mining Company - Maaden | Industry: Materials | Original Stage: Firm | Forecast GM: 25.0% / 1,000.00 | Delivery: 2026-05-14 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0088,Sinopec,Aramco Replace Plant 25 Main Compressor at Ras Tanura jb,New,Proposal,90,2500000.0,2026-01-01,Basith Ahmed,Rania,0,,,2026-01-01,Open,"Business Unit: Project | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 10.0% / 250,000.00 | Delivery: 2026-04-28 | Must Win: Yes"
SS-26-0087,Aramco,Kerosene Metering from Saudi Aramco NRTU to King Khalid Int,New,Qualification,40,850000.0,2026-12-01,Basith Ahmed,Rania,0,,,2026-12-01,Open,"Business Unit: Project | End User: Aramco | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 15.0% / 127,500.00 | Delivery: 2026-04-28 | Must Win: Yes"
SS-26-0086,Civil Works Company,Upgradation of VMS,New,Qualification,90,900000.0,2026-06-01,Shady Moussa,Bahaa,0,,Sales: Shady + Bahaa,2026-06-01,Open,"Business Unit: Project | End User: SWA - Yanbu | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 30.0% / 200,000.00 | Delivery: 2026-04-23 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0085,SEC,Validation & Verification USM & FC,New,Qualification,70,60000.0,2026-11-01,Shady Moussa,Nishar,0,,,2026-11-01,Open,"Business Unit: Trading | End User: SEC - PP14 | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 25.0% / 30,000.00 | Delivery: 2026-04-23 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0084,Riyadh Aletqan Co.,Custom Made Speed sensors as a replacment of exisit,New,Lost,40,251250.0,2026-03-01,Bahaa Abusaqer,BA,0,,Project Lost due to high prices as informed by customer,2026-03-01,Lost,"Business Unit: Project | End User: ASCOM Carbonate & Chemicals Manufacturing | Industry: Chemical | Original Stage: Lost | Forecast GM: 30.0% / 75,375.00 | Delivery: 2026-04-21 | Must Win: Yes"
SS-26-0083,Natural Gas Distribution Company,RFQ // METERING SKID RFQ for SEVEN (7) NEW FACTORIESCUSTOMER,New,Proposal,70,2000000.0,2027-03-01,Shady Moussa,Rania,0,,,2027-03-01,Open,"Business Unit: Project | End User: Natural Gas Distribution Company | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 1,000,000.00 | Delivery: 2026-04-21 | Must Win: Yes | Quality: GM % missing"
SS-26-0082,Sessco Basheer,Mitsubishi Local partner - Sesco,Replacement,Qualification,90,11.0,2026-06-01,Abdelaziz Abdelsadek,ABDELAZIZ,0,,,2026-06-01,Open,Business Unit: Trading | End User: SESSCO | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 550.00 | Delivery: 2026-04-20 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %
SS-26-0081,SEC,Upgrade BN3500 to Shinkawa VM7 OR BN3500 Services Repair,New,Qualification,70,4000000.0,2026-08-01,Bahaa Abusaqer,Bahaa Abusaqer,0,,"Sales man Shady - Bahaa, we are just wating for SHINKAWA R&D to give us the possibilty of making BulkHead Rack Type, then we make the quotation",2026-08-01,Open,"Business Unit: Project | End User: SEC PP10 | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 30.0% / 1,200,000.00 | Delivery: 2026-11-30 | Must Win: Yes"
SS-26-0080,Al-Hatha Company,Supplly Mechanical Flow Meter,New,Qualification,70,0.0,2026-01-01,Shady Moussa,Nishar,0,,,2026-01-01,Open,Business Unit: Trading | End User: Taif Airbase | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 0.00 | Delivery: 2026-04-14 | Must Win: Yes | Quality: Gross value missing
SS-26-0079,zamel cranes,drives quotation,Replacement,Qualification,90,5000.0,2026-06-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-06-01,Open,"Business Unit: Trading | End User: zamel cranes | Industry: Materials | Original Stage: Budgetary | Forecast GM: 40.0% / 1,500.00 | Delivery: 2026-06-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0078,zamel Cranes,Develop Automation Solution for Overhead Electrical Cranes,New,Qualification,90,25.0,2026-06-01,Abdelaziz Abdelsadek,Rania,0,,,2026-06-01,Open,"Business Unit: Trading | End User: zamel cranes | Industry: Materials | Original Stage: Budgetary | Forecast GM: 25.0% / 2,500.00 | Delivery: 2026-04-14 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0077,Technology Products and Services Co. (TPS),Technology Products and Services Co. (TPS),New,Qualification,90,111.0,2026-06-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-06-01,Open,Business Unit: Trading | End User: Technology Products and Services Co. (TPS) | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 110.00 | Delivery: 2026-06-30 | Must Win: Yes
SS-26-0076,Aramco Wusta and Ghazlan,"Replacement of Senior orifice Fittings Spares 30""",New,Proposal,90,0.0,2026-07-01,Hussain Al Haydar,Mohamed Nishar,0,,Received offer from Daniel for Spares,2026-07-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 56,000.00 | Delivery: 2026-12-31 | Must Win: Yes | Quality: Gross value missing"
SS-26-0075,Marafiq,Supply of Emerson Flow Computer Kit,New,Proposal,90,0.0,2026-01-01,Mohammed Nishar,Mohamed Nishar,0,,RFQ received from Marafiq for Flow computer Spares,2026-01-01,Open,"Business Unit: Trading | End User: Marafiq | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 5,000.00 | Delivery: 2026-04-12 | Must Win: Yes | Quality: Gross value missing"
SS-26-0074,Sipchem,Supply of ABB Positioner,New,Proposal,90,0.0,2026-06-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-06-01,Open,"Business Unit: Trading | End User: Sipchem | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 9,000.00 | Delivery: 2026-04-13 | Must Win: Yes | Quality: Gross value missing"
SS-26-0073,Aramco,Supply USM spare parts,New,Qualification,70,219000.0,2026-12-01,Shady Moussa,Nishar,0,,,2026-12-01,Open,"Business Unit: Trading | End User: Marafiq | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 60,000.00 | Delivery: 2026-04-02 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0072,National Water Works Co,RFQ# ULTRASONIC FLOWMETER - OPM250004,New,Proposal,70,0.0,2026-10-01,Shady Moussa,Nishar,0,,,2026-10-01,Open,"Business Unit: Trading | End User: Saudi Irrigation organization. | Industry: Food & Beverage | Original Stage: Firm | Forecast GM: 25.0% / 8,000.00 | Delivery: 2026-11-17 | Must Win: Yes | Quality: Gross value missing"
SS-26-0071,SAUDI MODERN FOODS FACTORY,SAUDI MODERN FOODS FACTORY,New,Qualification,90,3443.69,2026-05-01,Abdelaziz Abdelsadek,,0,,,2026-05-01,Open,Business Unit: Trading | End User: SAUDI MODERN FOODS FACTORY | Industry: Food & Beverage | Original Stage: Budgetary | Forecast GM: 50.0% / 500.00 | Delivery: 2026-06-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %; Assigned To missing
SS-26-0070,zamil cranes,Develop Automation Solution for Overhead Electrical Cranes,New,Qualification,90,25000.0,2026-05-01,Abdelaziz Abdelsadek,,0,,,2026-05-01,Open,"Business Unit: Trading | End User: zamil cranes | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 10,000.00 | Delivery: 2026-03-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %; Assigned To missing"
SS-26-0069,Qiddya,Qiddya National Tennis Complex,New,Qualification,90,500000.0,2026-12-01,Abdelaziz Abdelsadek,,0,,,2026-12-01,Open,"Business Unit: Trading | End User: Qiddya | Industry: Materials | Original Stage: Budgetary | Forecast GM: 10.0% / 500,000.00 | Delivery: 2026-03-30 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %; Assigned To missing"
SS-26-0068,AL Babteen Plastic,MDP pannel Quotation,New,Qualification,90,15000.0,2026-09-01,Abdelaziz Abdelsadek,Nishar,0,,,2026-09-01,Open,"Business Unit: Trading | End User: AL Babteen Plastic | Industry: Materials | Original Stage: Budgetary | Forecast GM: 10.0% / 10,000.00 | Delivery: 2026-10-31 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0067,Hadeed,Validation & Verification Services for USM & FC,New,Awarded,90,135800.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Won,"Business Unit: Trading | End User: Hadeed - Aramco | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 25.0% / 33,950.00 | Delivery: 2026-03-17 | Must Win: Yes"
SS-26-0066,Al Essa For Contracting,FIELD INSTRUMENTS //WATER TRANSMISSION PIPELINE PROJECT - RU,New,Proposal,90,0.0,2026-06-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-06-01,Open,Business Unit: Project | End User: Principal Buyer | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-10-31 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0065,ODS Middle East FZE,Supply GC ProChain Spares,New,Awarded,90,56988.53,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Won,"Business Unit: Trading | End User: ANOH Gas Plant | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 25.0% / 17,806.00 | Delivery: 2026-03-10 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0064,Aramco,BI-10-15618 - Debottleneck Produced Water Facilities at Sout,New,Qualification,70,20000000.0,2026-07-01,Bahaa Abusaqer,Bahaa,0,,TCL was submitted on 14th April 2026 to our sent Proposal,2026-07-01,Open,"Business Unit: Project | End User: ARAMCO | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 30.0% / 6,000,000.00 | Delivery: 2026-10-31 | Must Win: Yes"
SS-26-0063,SEC,"Supply, Install, Testing and Commissioning of New radar",New,Qualification,70,0.0,2026-12-01,Shady Moussa,Rania,0,,,2026-12-01,Open,Business Unit: Project | End User: SEC - Tabuk | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 25.0% / 0.00 | Delivery: 2026-03-04 | Must Win: Yes | Quality: Gross value missing
SS-26-0062,GPDS,Building Control system for Potable Pump,New,Proposal,70,0.0,2026-09-01,Shady Moussa,Rania,0,,,2026-09-01,Open,Business Unit: Project | End User: Moodon | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 0.00 | Delivery: 2026-03-03 | Must Win: Yes | Quality: Gross value missing
SS-26-0061,SEC,Replace Radar LT and MST unit,New,Qualification,70,0.0,2026-01-01,Shady Moussa,Rania,0,,,2026-01-01,Open,Business Unit: Trading | End User: SEC - Tabuk | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 0.0% / 0.00 | Delivery: 2026-02-25 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0060,Tamimi Energy,Sustainability Report,New,Qualification,90,5.0,2026-03-01,Hussain Al Haydar,Hussain Al Haydar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: Tamimi Energy | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 5.0% / 137,624.84 | Delivery: 2026-03-31 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0059,Energia,supply of level transmitter,New,Qualification,90,150000.0,2026-10-01,,Rania,0,,,2026-10-01,Open,"Business Unit: Trading | End User: Neom | Industry: Materials | Original Stage: Budgetary | Forecast GM: 20.0% / 30,000.00 | Delivery: 2026-02-23 | Must Win: Yes | Quality: Salesman missing"
SS-26-0058,First Gas,Supply PT & TT & PI,New,Awarded,90,25000.0,2026-02-01,Shady Moussa,Nishar,0,,,2026-02-01,Won,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 25.0% / 5,000.00 | Delivery: 2026-02-18 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0057,Jubail O & M Ltd Company,JOMEL Company has invited you RFQ: 1500008475,New,Proposal,90,56700.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Open,"Business Unit: Trading | End User: Marafiq IWPP | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 27.0% / 11,000.00 | Delivery: 2026-02-16 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0056,SIMPLE SOLUTIONS COMPANY,Supply of Thermowell,New,Proposal,90,5000.0,2026-03-01,Mohammed Nishar,Mohammed Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: Maaden | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 1,500.00 | Delivery: 2026-02-16 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0055,Gas Solutions Company,Inquiry for Quotation | PLC | 2026-02-11,New,Proposal,70,0.0,2026-04-01,Shady Moussa,Rania,0,,,2026-04-01,Open,Business Unit: Trading | End User: THE AMAALA MARINA LIFESTYLE ANDF HOTEL VILLAGE (MLH) | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 0.00 | Delivery: 2026-02-15 | Must Win: Yes | Quality: Gross value missing
SS-26-0054,Gas Solutions,Supply of Flow Transmitters,New,Proposal,70,0.0,2026-04-01,Shady Moussa,Nishar,0,,,2026-04-01,Open,Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 20.0% / 0.00 | Delivery: 2026-02-15 | Must Win: Yes | Quality: Gross value missing
SS-26-0053,Dar Al-Mughirah Industrial Company,Dar Al-Mughirah Industrial Company,New,Qualification,90,100.0,2026-05-01,Abdelaziz Abdelsadek,nishar,0,,,2026-05-01,Open,"Business Unit: Trading | End User: Dar Al-Mughirah Industrial Company | Industry: Materials | Original Stage: Budgetary | Forecast GM: 20.0% / 1,000.00 | Delivery: 2026-02-12 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0052,Alfreid TRADING COMPANY,Lead Inbound Notification from C4C - Quote-Request_alfreid,Replacement,Qualification,90,500.0,2026-04-01,Abdelaziz Abdelsadek,Nishar,0,,,2026-04-01,Open,"Business Unit: Trading | End User: Alfreid TRADING COMPANY | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 30,000.00 | Delivery: 2026-05-06 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0051,Hadeed,Validation & Verification USM,New,Qualification,90,41000.0,2026-02-01,Shady Moussa,Nishar,0,,,2026-02-01,Open,"Business Unit: Trading | End User: Aramco | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 11,000.00 | Delivery: 2026-02-11 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0050,alfreid trading,Quote-Request_alfreid trading,Replacement,Qualification,90,100.0,2026-04-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-04-01,Open,Business Unit: Trading | End User: alfreid trading | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 400.00 | Delivery: 2026-02-11 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %
SS-26-0049,Zamil offshore,LB9 REQ # 26-010 SIEMENS,New,Qualification,90,1000.0,2026-03-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-03-01,Open,"Business Unit: Trading | End User: zamil offshore | Industry: Materials | Original Stage: Budgetary | Forecast GM: 35.0% / 1,000.00 | Delivery: 2026-02-10 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0048,AlYamama,OXAGON PORT CHILLER PLANT – PHASE 1A - MODULAR PLANT– SCADA,New,Qualification,90,0.0,2027-06-01,,Rania,0,,,2027-06-01,Open,Business Unit: Project | End User: Neom | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 10.0% / 0.00 | Delivery: 2026-02-05 | Must Win: No | Quality: Gross value missing; Salesman missing
SS-26-0047,First Gas,I & C Electrical Feeding Works,New,Proposal,70,0.0,2026-01-01,Shady Moussa,Imran,0,,,2026-01-01,Open,Business Unit: Project | End User: Saudi Cement | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 0.0% / 0.00 | Delivery: 2026-02-05 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0046,BASMA ELITE TRADING COMPANY,Quote-Request_BASMA ELITE TRADING COMPANY,Replacement,Qualification,90,400.0,2026-03-01,Abdelaziz Abdelsadek,Nishar,0,,,2026-03-01,Open,Business Unit: Trading | End User: BASMA ELITE TRADING COMPANY | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 200.00 | Delivery: 2026-02-04 | Must Win: Yes
SS-26-0045,petropan,MITSUBISHI ELECTRIC petropan,Replacement,Qualification,90,10000.0,2026-03-01,Abdelaziz Abdelsadek,Nishar,0,,,2026-03-01,Open,"Business Unit: Trading | End User: petropan | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 10,000.00 | Delivery: 2026-02-04 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0044,ADWAN Marketing Co. Ltd.,Inquiries ADWAN Mitsubishi Electrical parts,Replacement,Qualification,90,10.0,2024-01-01,Abdelaziz Abdelsadek,Nishar,0,,,2024-01-01,Open,Business Unit: Trading | End User: ADWAN Marketing Co. Ltd. | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 20.00 | Delivery: 2026-02-04 | Must Win: Yes
SS-26-0043,MGATE,Quote-Request_MGATE- Al Maadan gate trading,Replacement,Qualification,90,10.0,2025-03-01,Abdelaziz Abdelsadek,Nishar,0,,,2025-03-01,Open,Business Unit: Trading | End User: MGATE- Al Maadan gate trading | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 10.00 | Delivery: 2026-02-04 | Must Win: Yes
SS-26-0041,GULF SUPPLIES TRADING COMPANY,Quote-Request_GULF SUPPLIES TRADING COMPANY,New,Qualification,90,2012.24,2026-03-01,Abdelaziz Abdelsadek,RANIA,0,,EURO,2026-03-01,Open,"Business Unit: Trading | End User: GULF SUPPLIES TRADING COMPANY | Industry: Materials | Original Stage: Budgetary | Forecast GM: 50.0% / 1,006.12 | Delivery: 2026-02-02 | Must Win: Yes"
SS-26-0040,Danah Real Estate,NEW UPS,New,Qualification,90,5000.0,2024-02-01,Abdelaziz Abdelsadek,Rania,0,,,2024-02-01,Open,"Business Unit: Trading | End User: Danah Real Estate | Industry: Materials | Original Stage: Budgetary | Forecast GM: 40.0% / 5,000.00 | Delivery: 2026-02-02 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0042,iearabia,ION EXCHANGE ARABIA- Saudi Sensing,New,Qualification,90,0.0,2026-03-01,Basith Ahmed,Rania,0,,,2026-03-01,Open,Business Unit: Trading | End User: iearabia | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 0.0% / 0.00 | Delivery: 2026-03-31 | Must Win: Yes | Quality: Gross value missing; GM % missing
SS-26-0038,Gas Equipment Contract & Trading,Supply Volume Corrector,New,Qualification,70,40850.0,2024-04-01,Shady Moussa,Rania,0,,,2024-04-01,Open,"Business Unit: Trading | End User: Al Fanar | Industry: Oil & Gas | Original Stage: Budgetary | Forecast GM: 20.0% / 8,380.00 | Delivery: 2026-01-28 | Must Win: Yes"
